sample	hier_label	hier_label2	hier_label16	hier_label32	branch_length	color	hilight	root_color
n0	0	0	b16:0	b32:0				
n1	1	0	b16:0	b32:0	0.0			
n2	1.1	0.0	b16:.q0	b32:.q0	452.0			
n3	1.1.1	0.0.0	b16:.o0	b32:.o0	267.0			
n4	1.1.1.1	0.0.0.0	b16:0	b32:.h0	165.0			
n5	1.1.1.1.1	0.0.0.0.0	b16:0.b0	b32:0	14.0			
n6	1.1.1.1.1.1	0.0.0.0.0.0	b16:0.q0	b32:0.b0	45.0			
n7	1.1.1.1.1.1.1	0.0.0.0.0.0.0	b16:0.o0	b32:0.q0	60.0			
n8	1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0	b16:00	b32:0.o0	130.0			
n9	1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0	b16:00.b0	b32:0.h0	3.0			
n10	1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0	b16:00.q0	b32:00	1.0			
n11	1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0	b16:00.o0	b32:00.b0	3.0			
n12	1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0	b16:000	b32:00.q0	2.0			
n13	1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000.b0	b32:00.o0	2.0			
n14	1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000.q0	b32:00.h0	2.0			
n15	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000.o0	b32:000	16.0			
n16	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000	b32:000.b0	1.0			
n17	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000.b0	b32:000.q0	2.0			
n18	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000.q0	b32:000.o0	5.0	#006666	{366,72.0,#ffffcc}	#006666
n19	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000.o0	b32:000.h0	1.0	#006666	{215,72.0,#f0f0f0}	
n20	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000	b32:0000	4.0	#99ccff	{210,72.0,#ccccff}	#99ccff
n21	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000.b0	b32:0000.b0	1.0	#99ccff	{209,72.0,#99ccff}	
n22	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000.q0	b32:0000.q0	8.0	#99ccff	{200,72.0,#99ccff}	
n23	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000.o0	b32:0000.o0	1.0	#99ccff		
n24	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000000	b32:0000.h0	4.0	#99ccff		
n25	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000000.b0	b32:00000	6.0	#99ccff	{143,72.0,#99ccff}	
n26	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000000.q0	b32:00000.b0	5.0	#99ccff		
n27	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000000.o0	b32:00000.q0	1.0	#99ccff		
n28	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000000	b32:00000.o0	4.0	#99ccff	{98,72.0,#9999ff}	
n29	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000000.b0	b32:00000.h0	1.0	#99ccff		
n30	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000000.q0	b32:000000	10.0	#99ccff	{70,72.0,#f0f0f0}	
n31	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:0000000.o0	b32:000000.b0	1.0	#99ccff	{62,72.0,#ccccff}	
n32	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000000	b32:000000.q0	0.0	#99ccff		
n33	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000000.b0	b32:000000.o0	10.0	#99ccff		
n34	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000000.q0	b32:000000.h0	11.0	#99ccff	{34,97.0,#ccffff}	
n35	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:00000000.o0	b32:0000000	1.0	#99ccff		
n36	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000000000	b32:0000000.b0	1.0	#99ccff		
n37	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0	b16:000000000.b0	b32:0000000.q0	5.0	#99ccff		
